Program_Combo,ID,Count
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert","[109337.0, 146060.0, 1111553.0, 1341800.0, 2483914.0, 2535421.0, 2598612.0, 2632069.0, 2660947.0, 2779748.0, 2790329.0, 2899526.0, 2948429.0, 2955383.0]",14
"C25590H3 - Information Technology/Haredware and Software Certificate, C25590H5 - Information Technology/Network Defense Specialist Cert","[2899268.0, 2962721.0, 2983655.0, 2983660.0, 2983668.0, 2983669.0, 2983721.0, 2984053.0, 2984056.0, 2985282.0, 2985295.0, 2985299.0, 2990514.0]",13
"C25800C1 - Accounting and Finance/Payroll Accounting Certificate, C25800C2 - Accounting and Finance/Tax Preparer Certificate, C25800C3 - Accounting and Finance/Computerized Accounting Certificate, C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C25800C5 - Accounting and Finance/Cost/Managerial Account Certificate, C25800C6 - Accounting and Finance/Accounting Foundations Certificate","[694284.0, 1909536.0, 2481020.0, 2529388.0, 2611332.0, 2747148.0, 2780170.0, 2824237.0, 2826228.0, 2928410.0, 2941215.0, 2956812.0, 2979269.0]",13
"C60160C6 - Automotive Systems Technology/Maint & Light Repair I Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert, D60160 - Automotive Systems Technology Diploma","[2549305.0, 2620206.0, 2827906.0, 2846192.0, 2853876.0, 2896922.0, 2897911.0, 2924876.0, 2959647.0, 2976722.0, 2991840.0, 3009161.0, 3019373.0]",13
"C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert","[1149437.0, 2643486.0, 2768909.0, 2776773.0, 2825896.0, 2847801.0, 2860208.0, 2871474.0, 2888868.0, 2935785.0, 2937062.0, 2946641.0, 2949185.0]",13
"C55150C3 - Culinary Arts/Demi-Chef Certificate, C55150C4 - Culinary Arts/Food Service Fundamentals Certificate","[2483718.0, 2578469.0, 2588319.0, 2618471.0, 2761142.0, 2843486.0, 2854766.0, 2855943.0, 2868106.0, 2883804.0, 2911839.0, 2934001.0]",12
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert","[330604.0, 407662.0, 882844.0, 2483847.0, 2697037.0, 2770520.0, 2779789.0, 2873685.0, 2891452.0, 2923119.0, 2925113.0]",11
"C55120 - Basic Law Enforcement Training (Certificate), D55180 - Criminal Justice Technology/Policing Diploma","[411661.0, 881556.0, 2896988.0, 2970293.0, 2996085.0, 3005409.0, 3008996.0, 3012050.0, 3012254.0, 3017862.0]",10
"C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert","[181984.0, 2590404.0, 2708687.0, 2837254.0, 2850787.0, 2895449.0, 2899069.0, 2930855.0, 2940108.0, 2961055.0]",10
"C60160C6 - Automotive Systems Technology/Maint & Light Repair I Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert","[253759.0, 2512886.0, 2525211.0, 2552481.0, 2589380.0, 2609343.0, 2899359.0, 2902879.0, 2953839.0]",9
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C15 - Business Administration /Total Quality Management Cert, C25120C23 - Business Administration/Operations Leadership Certificate","[1073609.0, 2475916.0, 2545976.0, 2578730.0, 2747326.0, 2774937.0, 2892780.0, 2923602.0, 2969432.0]",9
"C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert","[2473892.0, 2528956.0, 2609286.0, 2746281.0, 2825779.0, 2890984.0, 2959120.0, 2963926.0]",8
"C55240H1 - Fire Protection Technology/Fire Protection Tech Certificate, C55240H2 - Fire Protection Technology/Fundamentals of Arson Certificate","[2988446.0, 3003792.0, 3004333.0, 3006878.0, 3007221.0, 3011698.0, 3012246.0]",7
"C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, C60130C5 - Basic Collision Repair & Refinishing Technology Certificate, D60130D1 - Collision Repair and Refinishing Technology Diploma","[2525529.0, 2639638.0, 2698435.0, 2735526.0, 2901549.0, 2968145.0, 2976450.0]",7
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert","[517461.0, 1111357.0, 2728110.0, 2846505.0, 2907744.0, 2919745.0, 2944850.0]",7
"C25200C1 - Healthcare Management Technology/HC Access Cust Serv Sp Cert, C25200C2 - Healthcare Management Technology/HC Access Financial Sp Cert","[371744.0, 445983.0, 2539405.0, 2747879.0, 2850796.0, 2961657.0]",6
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool","[1338917.0, 2522281.0, 2581539.0, 2857125.0, 2893631.0, 2948691.0]",6
"C25590C2 - Information Technology/C# Programming Certificate, C25590C27 - Information Technology/Intro To iOS Devel Using Swift Cert, C25590C3 - Information Technology/Mobile Application Development Cert","[2605575.0, 2648472.0, 2916731.0, 2951455.0, 2952852.0, 2957830.0]",6
"C25590C20 - Information Technology/Python Programming Certificate, C25590C27 - Information Technology/Intro To iOS Devel Using Swift Cert, C25590C3 - Information Technology/Mobile Application Development Cert","[2476616.0, 2750227.0, 2916966.0, 2941959.0]",4
"C50210C1 - Computer-Integrated Machining/Basic Machining Certificate, D50210 - Computer-Integrated Machining/Manual Machining Diploma","[2794250.0, 2933396.0, 2974843.0, 3012028.0]",4
"C25110C2 - Hospitality Management/Event Planning Certificate, C25110C3 - Hospitality Management/Hotel & Lodging Mgt Certificate, C25110C4 - Hospitality Management/Restaurant Management Certificate","[406219.0, 1380063.0, 2523254.0, 2673166.0]",4
"C30100C1 - Graphic Design/Digital Graphic Certificate, C30100C2 - Graphic Design/Graphic Design Basics Certificate, C30100C4 - Graphic DesignAdobe Applications Certificate, C30100C5 - Graphic Design/Digital Illustration Certificate, C30100C6 - Graphic Design/Illustration Basics Certificate","[1377985.0, 2851743.0, 2898495.0, 2920516.0]",4
"C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert","[2584564.0, 2785394.0, 2868216.0]",3
"C25590C1 - Information Technology/Java Programming Certificate, C25590C2 - Information Technology/C# Programming Certificate, C25590C27 - Information Technology/Intro To iOS Devel Using Swift Cert, C25590C3 - Information Technology/Mobile Application Development Cert","[2884195.0, 2910972.0, 2945367.0]",3
"C25590H3 - Information Technology/Haredware and Software Certificate, C30100H1 - Graphic Design/Graphic Design Basics Certificate","[2875018.0, 2984050.0, 2985289.0]",3
"C30100C1 - Graphic Design/Digital Graphic Certificate, C30100C5 - Graphic Design/Digital Illustration Certificate","[329081.0, 443366.0, 2894018.0]",3
"C30100C5 - Graphic Design/Digital Illustration Certificate, C30100C6 - Graphic Design/Illustration Basics Certificate","[2620820.0, 2790941.0, 2951841.0]",3
"C25120C11 - Business Administration/Small Business Operations Cert, C25120C9 - Business Administration /Organizational Leadership Cert","[2579498.0, 2716448.0, 2731758.0]",3
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55850 - Early Childhood Administration","[2687485.0, 2954507.0, 3013767.0]",3
"C25120C15 - Business Administration /Total Quality Management Cert, C25120C23 - Business Administration/Operations Leadership Certificate","[109844.0, 2610849.0, 2773589.0]",3
"C25120H1 - Business Administration, C25800H1 - Accounting and Finance","[2983488.0, 2998141.0]",2
"C25120H1 - Business Administration, C25590H5 - Information Technology/Network Defense Specialist Cert","[3006867.0, 3013602.0]",2
"C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert","[2525454.0, 2975385.0]",2
"C15240C1 - Horticulture Technology/Basic Landscape Maint Certificate, C15240C3 - Horticulture Technology/Viticulture Certificate","[887422.0, 2965061.0]",2
"C25120C15 - Business Administration /Total Quality Management Cert, C25120C16 - Business Administration /Project Leadership Certificate, C25120C23 - Business Administration/Operations Leadership Certificate","[2487083.0, 2489687.0]",2
"C25590H4 - Information Technology/Computer Technologies Certificate, C25590H5 - Information Technology/Network Defense Specialist Cert","[2998061.0, 3005675.0]",2
"C40140C1 - Civil Engineering Technology Certificate, D40140 - Civil Engineering Technology Diploma","[2896979.0, 2983553.0]",2
"C25590H3 - Information Technology/Haredware and Software Certificate, C25590HC - Information Technology/Audio and Video Editing Cert","[2984063.0, 2985306.0]",2
"C25590C2 - Information Technology/C# Programming Certificate, C25590C20 - Information Technology/Python Programming Certificate, C25590C27 - Information Technology/Intro To iOS Devel Using Swift Cert, C25590C3 - Information Technology/Mobile Application Development Cert","[2496208.0, 2925340.0]",2
"C30100C1 - Graphic Design/Digital Graphic Certificate, C30100C5 - Graphic Design/Digital Illustration Certificate, C30100C6 - Graphic Design/Illustration Basics Certificate","[2951050.0, 2965736.0]",2
"C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate","[1073936.0, 2817079.0]",2
"C25120H1 - Business Administration, C55130H1 - Baking and Pastry Arts","[2995076.0, 3001895.0]",2
"C25120H1 - Business Administration, C30100H1 - Graphic Design/Graphic Design Basics Certificate","[2982382.0, 2982512.0]",2
"C25110C2 - Hospitality Management/Event Planning Certificate, C25110C3 - Hospitality Management/Hotel & Lodging Mgt Certificate","[2829404.0, 2877667.0]",2
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C9 - Business Administration /Organizational Leadership Cert","[962474.0, 2597255.0]",2
"C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, C5518CC1 - Criminal Justice Technology Forensic Science Certificate","[481358.0, 2756203.0]",2
"C35140C4 - Building Construction Technology/General Maint Certificate, C35180C1 - Carpentry/General Contractor's Lic Prep Certificate, D35180 - Carpentry (Diploma)","[1381997.0, 2966064.0]",2
"C35180C1 - Carpentry/General Contractor's Lic Prep Certificate, C35300C1 - Plumbing (Diploma)/Basic Plumbing Certificate, D35180 - Carpentry (Diploma), D35300 - Plumbing (Diploma)","[2993963.0, 2994707.0]",2
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55850 - Early Childhood Administration, C55860 - Early Childhood Preschool","[2674985.0, 2950492.0]",2
"C55460C2 - Emergency Management/Incident Management Certificate, C55460C3 - Emergency Management/Disaster Management Certificate","[518770.0, 2874856.0]",2
"C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert, C55180H3 - Criminal Justice Technology/Private Invest/Loss Prevent Cert","[3006805.0, 3008807.0]",2
"C40100C1 - Architectural TechnologyArchitectural Engineering Const Cert, C40100C2 - Architectural Technology/Green/Sustainable Arch Cert.","[2913526.0, 2944763.0]",2
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C12 - Business Administration /Entrepreneurship Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",[1652366.0],1
